,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
37,donner,give
38,type,type
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,pouvoir,power
51,vieux,old
52,tiens,here
53,tellement,so much
54,point,point
55,suite,after
56,devant,in front of
57,vers,towards
58,minutes,minutes
59,demandé,request
60,chambre,bedroom
61,mis,placed
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,cause,cause
67,enfin,finally
68,eau,water
69,parti,left
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,dirait,would say
74,terre,Earth
75,donne,given
76,loin,far
77,fin,end
78,croire,believe
79,chérie,sweetheart
80,gros,large
81,aura,will have
82,filles,girls
83,jouer,to play
84,bureau,office
